YEARS,CO2EQ
2169,281.69873
2170,281.69873
2171,281.69873
2172,281.69873
2173,281.69873
2174,281.69873
2175,281.69873
2176,281.69873
2177,281.69873
2178,281.69873
2179,281.69873
2180,281.69873
2181,281.69873
2182,281.69873
2183,281.69873
2184,281.69873
2185,281.69873
2186,281.69873
2187,281.69873
2188,281.69873
2189,281.69873
2190,281.69873
2191,281.69873
2192,281.69873
2193,281.69873
2194,281.69873
2195,281.69873
2196,281.69873
2197,281.69873
2198,281.69873
2199,281.69873
2200,281.69873
2201,281.69873
2202,281.69873
2203,281.69873
2204,281.69873
2205,281.69873
2206,281.69873
2207,281.69873
2208,281.69873
2209,281.69873
2210,281.69873
2211,281.69873
2212,281.69873
2213,281.69873
2214,281.69873
2215,281.69873
2216,281.69873
2217,281.69873
2218,281.69873
2219,281.69873
2220,281.69873
2221,281.69873
2222,281.69873
2223,281.69873
2224,281.69873
2225,281.69873
2226,281.69873
2227,281.69873
2228,281.69873
2229,281.69873
2230,281.69873
2231,281.69873
2232,281.69873
2233,281.69873
2234,281.69873
2235,281.69873
2236,281.69873
2237,281.69873
2238,281.69873
2239,281.69873
2240,281.69873
2241,281.69873
2242,281.69873
2243,281.69873
2244,281.69873
2245,281.69873
2246,281.69873
2247,281.69873
2248,281.69873
2249,281.69873
2250,281.69873
2251,281.69873
2252,281.69873
2253,281.69873
2254,281.69873
2255,281.69873
2256,281.69873
2257,281.69873
2258,281.69873
2259,281.69873
2260,281.69873
2261,281.69873
2262,281.69873
2263,281.69873
2264,281.69873
2265,281.69873
2266,281.69873
2267,281.69873
2268,281.69873
2269,281.69873
2270,281.69873
2271,281.69873
2272,281.69873
2273,281.69873
2274,281.69873
2275,281.69873
2276,281.69873
2277,281.69873
2278,281.69873
2279,281.69873
2280,281.69873
2281,281.69873
2282,281.69873
2283,281.69873
2284,281.69873
2285,281.69873
2286,281.69873
2287,281.69873
2288,281.69873
2289,281.69873
2290,281.69873
2291,281.69873
2292,281.69873
2293,281.69873
2294,281.69873
2295,281.69873
2296,281.69873
2297,281.69873
2298,281.69873
2299,281.69873
2300,281.69873
2301,281.69873
2302,281.69873
2303,281.69873
2304,281.69873
2305,281.69873
2306,281.69873
2307,281.69873
2308,281.69873
2309,281.69873
2310,281.69873
2311,281.69873
2312,281.69873
2313,281.69873
2314,281.69873
2315,281.69873
2316,281.69873
2317,281.69873
2318,281.69873
2319,281.69873
2320,281.69873
2321,281.69873
2322,281.69873
2323,281.69873
2324,281.69873
2325,281.69873
2326,281.69873
2327,281.69873
2328,281.69873
2329,281.69873
2330,281.69873
2331,281.69873
2332,281.69873
2333,281.69873
2334,281.69873
2335,281.69873
2336,281.69873
2337,281.69873
2338,281.69873
2339,281.69873
2340,281.69873
2341,281.69873
2342,281.69873
2343,281.69873
2344,281.69873
2345,281.69873
2346,281.69873
2347,281.69873
2348,281.69873
2349,281.69873
2350,281.69873
2351,281.69873
2352,281.69873
2353,281.69873
2354,281.69873
2355,281.69873
2356,281.69873
2357,281.69873
2358,281.69873
2359,281.69873
2360,281.69873
2361,281.69873
2362,281.69873
2363,281.69873
2364,281.69873
2365,281.69873
2366,281.69873
2367,281.69873
2368,281.69873
2369,281.69873
2370,281.69873
2371,281.69873
2372,281.69873
2373,281.69873
2374,281.69873
2375,281.69873
2376,281.69873
2377,281.69873
2378,281.69873
2379,281.69873
2380,281.69873
2381,281.69873
2382,281.69873
2383,281.69873
2384,281.69873
2385,281.69873
2386,281.69873
2387,281.69873
2388,281.69873
2389,281.69873
2390,281.69873
2391,281.69873
2392,281.69873
2393,281.69873
2394,281.69873
2395,281.69873
2396,281.69873
2397,281.69873
2398,281.69873
2399,281.69873
2400,281.69873
